Method,Mean Accuracy,Mean Recall,Mean Precision,Mean Specificity,Mean F1,Mean AUC,Mean PR-AUC,Mean MCC,Std Accuracy,Std Recall,Std Precision,Std Specificity,Std F1,Std AUC,Std PR-AUC,Std MCC
LR (default),0.8374863387978142,0.7913756613756614,0.8505540662615673,0.8768939393939393,0.8364948396100619,0.9059385020843354,0.9039703405351905,0.6765649846326904,0.04241577785863393,0.07137419054732361,0.06853773213236941,0.06470623913441509,0.04257094808351069,0.039076696529886275,0.04269777453913065,0.08555608727888518
SVM (default),0.8342076502732241,0.7782539682539684,0.8521100334618157,0.8817803030303031,0.8330903346464373,0.8990199114157449,0.8973367381905034,0.668975525202095,0.03820160697977038,0.06201080773565286,0.06074653028983295,0.057220595160834775,0.03845626165042043,0.03782511107009371,0.044135667448977976,0.0772297202021657
kNN (default),0.8302841530054645,0.7885185185185185,0.8343683457305646,0.8659469696969697,0.8295398638729294,0.8907114548260381,0.8577851282002693,0.6595590404317602,0.037468465843884205,0.06425611703540467,0.046716399074773395,0.04366266042648826,0.037861120080531246,0.03871355403591074,0.041373685131185875,0.07533817949813708
RF (default),0.8315300546448089,0.7769312169312169,0.8485682544322293,0.8779924242424244,0.8302051997571414,0.9047113997113998,0.8985414113157306,0.6643660869840516,0.04959027683679511,0.0810878970842994,0.06997295294761909,0.06625901969197691,0.050172128982468235,0.036935444149036864,0.03862214301861984,0.09914975557631364
XGBoost (default),0.8038142076502731,0.7638624338624338,0.8034398694933691,0.8377272727272728,0.8027059820469656,0.8786897747314413,0.8741418456402684,0.6075533704362668,0.046449146886020726,0.08182528991041242,0.06244444881204565,0.06288214211571934,0.04710860358951698,0.03576432992548591,0.04337753320778829,0.09352368092547286
Full Soft Voting,0.832207650273224,0.7854497354497354,0.8434237035843845,0.8720075757575758,0.8311929521169104,0.9095709575917909,0.908329248347832,0.6654240165209313,0.03580859932309276,0.06942516739247312,0.059710374399321337,0.05714406543881905,0.03600782609232363,0.03639162060593484,0.03632467483612085,0.07304270537106479
Full Stacking,0.8368087431693989,0.7897883597883597,0.8483627922374162,0.8769318181818181,0.8358575186358992,0.909688351771685,0.9086329618488409,0.6742764504544406,0.03947704672580063,0.06947648039092387,0.059579033920303656,0.055971263780139946,0.03977459177804453,0.037384393698382284,0.03797947203546215,0.08008079311781299
Pruned Ensemble (Mean Threshold),0.8341748633879782,0.7883068783068782,0.8447172406304341,0.8732575757575758,0.8332580705677296,0.9100942961359628,0.906333151140695,0.6689346160195052,0.04299195182826943,0.06789050511898671,0.06453151077482515,0.06184382359612043,0.04317892494947018,0.03707008564337751,0.04232673234781975,0.08693827633594177
"Pruned Ensemble (Mean Threshold, Tuned)",0.8388306010928962,0.7813756613756614,0.8580766499201282,0.8878787878787879,0.8376725437075578,0.909982714045214,0.9092893130000914,0.6782920224882628,0.0394963151683991,0.06971441100209441,0.056213088288637185,0.049767739937389824,0.03999275615370345,0.03533859696815923,0.03837076272719459,0.07985797544173838
Pruned Ensemble (Median Threshold),0.8374754098360655,0.7840211640211641,0.8546482532508779,0.8829924242424244,0.836314933054885,0.9083010662177329,0.9057967550932474,0.6762501361492442,0.04061706251400836,0.07198540548654722,0.06138448639174925,0.05988927455405994,0.04096675288692955,0.03687890195195797,0.04098942575410058,0.08183650423780894
"Pruned Ensemble (Median Threshold, Tuned)",0.8335409836065573,0.7841269841269842,0.8457682959386108,0.875757575757576,0.8325790955133715,0.9092111592111591,0.9062658560205576,0.6673639845516341,0.041411556569732354,0.06800742972665832,0.05989272244376679,0.055358134647270636,0.04163495921942324,0.03516715659214754,0.040408826088025,0.08372912981566866
