Method,Mean Accuracy,Mean Recall,Mean Precision,Mean Specificity,Mean F1,Mean AUC,Mean PR-AUC,Mean MCC,Std Accuracy,Std Recall,Std Precision,Std Specificity,Std F1,Std AUC,Std PR-AUC,Std MCC
LR (default),0.7564688905865377,0.7162962962962963,0.6376446844085434,0.7780000000000001,0.7591528343854143,0.8365675751222922,0.7201490081730043,0.4843032566654661,0.04356046780414898,0.06460179648990996,0.06484421668597809,0.05663920903402518,0.04239075137114343,0.031018684859420647,0.055764310798650726,0.08722656581007715
SVM (default),0.7476394194041254,0.7477568134171908,0.6162844247124939,0.7475999999999999,0.7519236479860294,0.8258153738644305,0.6773893573046921,0.47921954326819927,0.02974640894460872,0.046179147961320346,0.04296605047242182,0.04615452307195906,0.02846826677577253,0.029023437170065072,0.06249515577406283,0.055144557166190614
kNN (default),0.7122010016127663,0.7410761705101327,0.5697369640006283,0.6968000000000001,0.7181101409229673,0.7802326345213139,0.5916313500643935,0.4205370861167531,0.03990236518071738,0.05241914493754865,0.049974878174622255,0.05304488665272082,0.03848956972758393,0.03939518751932989,0.0594141580810531,0.07508437734696119
RF (default),0.7520567014684663,0.7051572327044024,0.6316370898984418,0.7772000000000001,0.7547249822397231,0.825822781271838,0.692400116884114,0.4726004404061676,0.03349025258406244,0.05342422962713754,0.049958840279266316,0.04413796551722792,0.03244948911348015,0.03242003913722543,0.05705897241873557,0.06776421239415209
XGBoost (default),0.7380171462524404,0.6596505939902166,0.6170844380761903,0.78,0.7396201426535062,0.8007756813417192,0.6658683864059962,0.43396990103090455,0.03029636898625937,0.06530942655659615,0.041595790798902174,0.03237282811247729,0.030162155995495234,0.030791810691624243,0.05786278406655822,0.06849510194656161
Full Soft Voting,0.7533808674985145,0.7335988819007687,0.6274241722691297,0.764,0.7569636544709281,0.8334712788259959,0.7123105824863787,0.4838276203054253,0.030708930856299544,0.05186419543377634,0.046161843842394884,0.042895221179054435,0.029567405380100754,0.031577929310556696,0.05755867578546576,0.06156783888908153
Full Stacking,0.755463882522706,0.679077568134172,0.6447198320654297,0.7964,0.756840500735991,0.8274584206848359,0.6989848191511139,0.471283526683059,0.03443971684867666,0.04973864147707347,0.05835555715384466,0.044710625135419436,0.03325117805780077,0.0334153579440329,0.06007967031643198,0.07122568330846656
Pruned Ensemble (Mean Threshold),0.7640641711229947,0.7478127183787562,0.6411066767670818,0.7727999999999998,0.7674459425983077,0.8419020265548567,0.7301708015413957,0.5064342120609334,0.028571199897326847,0.045906607770560874,0.04444558768211288,0.044228497600529014,0.0273738571296111,0.028576719707018965,0.053229290540877446,0.05424602002123918
"Pruned Ensemble (Mean Threshold, Tuned)",0.7562329174093879,0.7656603773584907,0.6266628102738139,0.7512000000000001,0.760365566649681,0.8406533892382949,0.7345478176271653,0.5001353641677817,0.04048916286092648,0.059571560155853576,0.056924530771205246,0.057987584878144385,0.03914745183171507,0.029378752100354455,0.05126504327602695,0.0763126070247585
Pruned Ensemble (Median Threshold),0.7650878533231474,0.7530538085255067,0.6420883429673268,0.7716,0.7685481907084813,0.8427221523410203,0.7292345111614277,0.5101364267323214,0.03169326773299437,0.047027326274711,0.049250317116721516,0.04871796383265623,0.030330305031912162,0.028536256610183705,0.05351137310568571,0.059203580347180304
"Pruned Ensemble (Median Threshold, Tuned)",0.7486749851455734,0.7418029350104822,0.6206215292087252,0.7524000000000001,0.7525252043742964,0.8382756114605171,0.7369491620502282,0.47987516565332966,0.04056948016464988,0.06321506831925819,0.057977260454953265,0.05968450385150235,0.03916749642849461,0.029472557790237996,0.050140550370596185,0.07699448346052283
Weighted Voting (All Models),0.7520838638485698,0.7283997204751923,0.6268727425013146,0.7648,0.7555338919978749,0.8347837875611461,0.7145780514708175,0.4801789110896474,0.030031876734543172,0.052646915139475496,0.045593308469846806,0.04446301834108882,0.028765546077369464,0.0312395794145039,0.057016878015721084,0.05931687960909748
Weighted Voting (Median Pruned),0.7653458959341313,0.7530398322851153,0.6423334383161161,0.772,0.7688053847164213,0.8424015373864431,0.7285525381506812,0.5104849082202302,0.030215896775407383,0.045636009760271316,0.04779309851710394,0.047159304490206395,0.02886298325060074,0.028673611472474162,0.053624676215714845,0.05646096181432311
